地名名稱,漢語拼音,通用拼音,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名意義,地名年代時間(起),地名年代時間(迄),地名類型,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,X坐標,Y坐標
老梅溪,Laomei River,Laomei River,,新北市,石門區,老梅里,,,迄今,自然地理實體,,,,主流長8.7KM，流域面積17.32平方公里，流域面積最廣，是本區第一大溪。其源流始於海拔1094公尺的竹子山，上游包括三芝區二坪頂的豬母坪溪與本區山溪里的尖山湖溪、香蕉坑等，流經尖山湖至豬槽潭橋，匯入坑子內溪，向北經七股、大丘田，再與大溪墘溪交會，至老梅公地凌虛宮東側入海。,,石門鄉誌(民86),305769.0181,2795472.842
大道公山,Dadaogong Mountain,Dadaogong Mountain,,新北市,石門區,德茂里,昔日大戲公神明會所購之山，故名。「大道公」即「大本公」，指保生大帝，吳真人稱為大道公。,,迄今,自然地理實體,,,,昔日大戲公神明會所購之山，今多興建墳墓。,,石門鄉誌(民86),,
下員坑溪,Xiayuankeng River,Siayuankeng River,,新北市,石門區,德茂里,,,迄今,自然地理實體,,,,主流長3.6KM，流域面積3.23平方公里，上游源自三芝區戲坪埔西側，流經橋頭，至白沙灣西側，富德社區東側入海，成渠頂圳部分得自下員坑溪上游的補助水源。,,石門鄉誌(民86),,
白沙灣,Baisha Bay,Baisha Bay,下罟寮鐮倉,新北市,石門區,德茂里,,,迄今,自然地理實體,,,,位於德茂里下員坑海岸，是由富貴角及麟山鼻合抱而成的半月形天然海灣，沙灘長約一公里，沙白水清，日治時代有「臺灣鎌倉」之稱。每到夏日，遊客自四方蜂湧而至，紅男綠女將海灘點綴的熱鬧非凡。白沙灣的細白沙灘是海浪自淺海處打碎並捲帶上岸的珊瑚礁和貝殼，在不斷沖刷粉碎之後，形成了潔白美麗的「貝殼沙」。「貝殼沙」不但可以遠觀近賞，更為這片海灘做了精采的演出。,,石門鄉誌(民86),301945.29,2797359.199
小坑仔溪,Xiaokengzi River,Siaokengzih River,,新北市,石門區,富基里,,,迄今,自然地理實體,,,,主流長30.KM，流域面積3.54平方公里，源自外衡山，海拔150公尺丘陵地，向北流至老公地溪西側入海，小坑子溪是富基里與老梅里的界溪。,,石門鄉誌(民86),304154,2798510
楓林溪,Fenglin River,Fonglin River,,新北市,石門區,富基里,,,迄今,自然地理實體,,,,主流長30.9KM，流域面積2.34平方公里，上游源自三芝區外衡山崩山，海拔218公尺，於頂頭圍與東南方向支流交會，其水量補注成渠頂圳與成渠中圳，向北流至登台口折往西，由富貴角西側，富基漁港南方入海。,,石門鄉誌(民86),304157.592,2796757.583
番仔山,Fanzi Mountain,Fanzih Mountain,,新北市,石門區,草里里,昔日有「番仔」居於此故名。,,迄今,自然地理實體,,,,在五爪崙與竹子湖中間，昔日有「番仔」居於此故名。,,石門鄉誌(民86),,
阿里荖溪,Alilao River,Alilao River,,新北市,石門區,草里里,,,迄今,自然地理實體,,,,主流長2.1KM，流域面積3.20平方公里，發源於五爪崙即金山安樂園東北方海拔390公尺高地。向北流經竹子湖，由乾華派出所西側入海，為順沿台地坡面發育成的順向河，河谷深切。,,石門鄉誌(民86),,
草埔尾溪,Caopuwei River,Caopuwei River,,新北市,石門區,草里里,,,迄今,自然地理實體,,,,主流長2.7KM，流域面積1.40平方公里，源自頂草埔尾南方，即金山安樂園北方海拔350公尺高地。向北流經頂草埔尾，由草里活動中心西側入海，草埔尾溪與阿里荖溪的下游，沖積成草里河谷平原。,,石門鄉誌(民86),,
小坑溪,Xiaokeng River,Siaokeng River,,新北市,石門區,茂林里,,,迄今,自然地理實體,,,,主流長5.3KM，流域面積5.44平方公里，源自小坑頭，及金山區安樂園西側385公尺高地，向北流經茂林社區東側，至核能一廠南方會集下草埔尾坑溪與下坪林坑溪，由核一廠前29號橋入海。小坑溪雖然短促，但河谷深切，兩岸谷壁陡峭。,,石門鄉誌(民86),309614.91,2797828.305
青山瀑布,Qingshan Waterfall,Cingshan Waterfall,,新北市,石門區,山溪里,,,迄今,自然地理實體,,,,本區由於受地形影響，溪流成放射切割，因而形成一山一溪，稜谷相間的地理景觀，亦是所課的「高山縱谷區」。此種地形其實不必遠征雲南才能目睹，遊覽石門區就可以看到相同的地形特徵，並可發現許多優美之風景點。以老梅里豬槽潭為起點往南走，順著狀似山溝之圳道前進，到了一號橋附近，只見老梅溪溪水清澈見底。,,石門鄉誌(民86),306293.275,2793201.212
石門溪,Shimen River,Shihmen River,,新北市,石門區,石門里,,,迄今,自然地理實體,,,,主流4.5KM，流域面積5.02平方公里，是石門里與尖鹿里的界河，發源自大竿林尾，海拔422公尺，上游支流分歧，分歧點有六，主要在內石門坑，匯集十塊厝仔坑、內石門土地公坑等於石門坑路第二號橋附近，往北沿中山路在石門國中與石門國小間入海。,,石門鄉誌(民86),307491.797,2797357.204
石崩山溪,Shibengshan River,Shihbengshan River,黑橋仔溪,新北市,石門區,石門里,,,迄今,自然地理實體,,,,主流長1.5KM，流域面積0.68平方公里，發源自石門國小山溪分班附近，海拔200公尺高地，向北流經鼻子尾，由石門國中西側第25號橋入海。石崩山溪無任何支流，而單獨流入海。,,石門鄉誌(民86),,
布蓬溪,Bupeng River,Bupeng River,布帆溪,新北市,三芝區,埔坪里,,,,自然地理實體,,,,,,,,
閹雞山,Yanji Mountain,Yanji Mountain,,新北市,五股區,集福里,昔居民以飼養雞隻為副業，為使其急速長大即以古法閹割之。,,迄今,自然地理實體,,,,閹雞山昔亦獅仔頭山在今孝義路旁，昔日居民曾養雞隻為使其快速成長於是以古閹割公雞可以早日出售故稱。附近因樹林竹林交錯，自然形成盛產竹筍。,,,,
崩山,Beng Mountain,Beng Mountain,,新北市,深坑區,賴仲里,崩下山凹,清中,迄今,自然地理實體,閩南語,安溪人,深南路中段<br>約20甲,清代先民到此地墾拓時，曾經有崩山，所以，被取名為崩山，但是，據我所知，後來好像從有過崩山的現象。,崩山以前有王姓人士在此種茶，品質很好，現在此地的茶師也有遠到大陸教學的人。,深坑鄉志、台灣舊地名沿革,313035.8974,2767724.676
石虎山,Shihu Mountain,Shihhu Mountain,,新北市,深坑區,昇高里,臺灣常稱山貓為石虎，像石虎的山,清中,迄今,自然地理實體,閩南語,安溪人,在灸仔頭旁邊，約500坪,昇高坑的高點，有一個形似石虎的山型，先民開拓至此，把石虎山的故事流傳下來，有人說在山上看到石虎發威。,傳說以前山上出石虎，會到山下來偷吃家禽，農民請來專家，設羅網誘捕，結果真的捉到石虎，它比貓大而兇。,台灣舊地名之沿革、深坑鄉志,,
蝦灣,Xia Bay,Sia Bay,蝦型灣,新北市,深坑區,土庫里,像蝦子形的灣潭,清初,迄今,自然地理實體,閩南語,安溪人,北深路旁，土庫溪下游約三十公尺,早年此溪魚蝦特多，因為溪岸上有一處山形像蝦子，古時候被風水師認為是很好的穴位，而做了墳墓，但主人不喜歡大家去觀看，就告訴大家說溪裡灣潭就是蝦型灣。,以前大家都知道蝦型灣在那裡，但是現在都說是溪裡，它也是很像蝦型，以前蝦很多，現在也還有蝦子，但是很少，現在雜草漫漫，很難找到蝦子，但型還可以看得出來。,"台北縣鄉土文史資料,深坑鄉誌",,
飛螢谷,Feiyinggu,Feiyinggu,,新北市,深坑區,昇高里,螢火蟲之谷,民中,迄今,自然地理實體,閩南語,安溪人,松柏墓園旁，約300坪,近來幾乎看不到螢火蟲，因為人們噴農藥，把野草殺，也把幾十種動植物噴死了，後來大家到此地發現大量陸生螢火蟲，因此，取名飛螢谷。,現在我們協調當地村長，不要噴農藥，不要有光害，儘量保存此地生態平衡。,台灣舊地名之沿革、深坑鄉志,,
賴仲坑溪,Laizhongkeng River,Laijhongkeng River,,新北市,深坑區,賴仲里,賴仲坑內的溪流,清中,迄今,自然地理實體,閩南語,安溪人,賴仲坑中央<br>約3公里,古早時先民來此開拓水田，引用賴仲坑溪之水來灌溉，此溪水量不多，所以到夏天會有斷水之苦，農民則開埤塘蓄水備用，總是可以渡過旱季。,以前賴仲坑溪有苦蝦即一種只有一公分大的小型蝦子，由於後來農藥氾濫，使得許多珍貴品種滅絕。,深坑鄉志、台灣舊地名沿革,,
賴仲坑山,Laizhongkeng Mountain,Laijhongkeng Mountain,,新北市,深坑區,賴仲里,賴仲坑旁的山,清中,迄今,自然地理實體,閩南語,安溪,在賴仲坑之上<br>約21甲,以前賴仲坑山在清代時，大部分都種大菁，只有少量茶葉，一直到日治時期，日本才大量獎勵種茶，不過現在山上只剩很少量的園地了。,早年賴仲山有山雞、獐等動物小時候常跟大人一起上山狩獵，但是現在，因過度開發後只留下一片荒草樹林了。,深坑鄉志、台灣舊地名沿革,313312.8098,2767328.12
土庫溪,Tuku River,Tuku River,,新北市,深坑區,土庫里,土庫中間之溪,清中,迄今,自然地理實體,閩南語,安溪人,土庫平原中段,土庫溪從土庫平地中央流過，溪流很小，只夠灌溉少量水田之用，民婦在溪底洗衣，洗物品等，後來由於都市化，結果被填掉上游，北深坑旁已經不見了，只剩下景美溪出口段。,以前常有水鳥和魚蝦，後來可惜被填掉，下一段也變成排水溝了，現在只有下段成了臭水溝旁林木雜，荒漫不見底。,"深坑鄉誌,深坑之美,台北縣鄉土史料",,
金面山,Jinmian Mountain,Jinmian Mountain,,新北市,汐止區,拱內里,,,,自然地理實體,,,,,,,,
土庫山,Tuku Mountain,Tuku Mountain,後山仔,新北市,深坑區,土庫里,土庫之後山,清中,迄今,自然地理實體,閩南語,安溪人,,土庫山在清中葉被開墾成為茶園，和生產大菁，後來大菁沒落，茶葉變成此地主要農產，直到日治時期都很興盛，國府時期，茶葉沒落，現在已經長滿樹林。,以前土庫山有許多木炭燒窯，當時茶園間作相思樹，一方面蔭涼，也可作為薪材，現在全片相思林，松鼠都在此棲息。,"深坑鄉誌,台北縣地鄉土史料,台灣地名辭典",,
茄苳瀑布,Qiedong Waterfall,Ciedong Waterfall,,新北市,汐止區,茄苳里,茄苳溪上的瀑布,,,自然地理實體,,,,茄苳溪上游,,水返腳人文影像,318545.7216,2771625.322
大尖坪山,Dajianping Mountainn,Dajianping Mountain,老鷹尖,新北市,汐止區,北峰里,,,,自然地理實體,,,,,,汐止鎮地圖,313315.618,2775765.211
翠湖,Cui Lake,Cuei Lake,,新北市,汐止區,,,,,自然地理實體,,,,,1,,313601.393,2775419.168
土地公潭,Tudigong Lake,Tudigong Lake,,新北市,汐止區,忠孝里,,,,自然地理實體,,,,,"可能是昊天嶺附近,供泡水的水池。",別為我哭泣-水返腳,,
坑頭山,Kengtou Mountain,Kengtou Mountain,,新北市,汐止區,八連里,坑頭意指「谷的源頭」,,,自然地理實體,,,,,,臺灣地名辭冊(中冊),310652.521,2777928.168
秀峰瀑布,Xiufeng Waterfall,Sioufong Waterfall,,新北市,汐止區,白雲里,秀峰里的瀑布,,,自然地理實體,,,,,,"臺灣鄉鎮之旅,汐止鎮全圖",317307.8888,2771120.601
肉崩嶺,Roubeng Mountain,Roubeng Mountain,,新北市,汐止區,白雲里,肉崩壞的山嶺,,,自然地理實體,,,,"位於汐平路與平溪交界處。昔日平溪、石底一帶的民眾多到汐止購物,一大早出門過午返回。肉崩嶺的石階時,肩上所挑的魚、肉因日照而呈腐敗狀,一踏上石階,則魚肉崩碎,故名「肉崩嶺」。(待考證)",,"別為我哭泣-水返則,汐止鎮全圖",,
草埤,Cao Pond,Cao Pond,,新北市,泰山區,福泰里 義仁里,長滿雜草之沼澤濕地為一大水埤,清代,今(限當地人及長者),自然地理實體,國台語,,為在中山路西側，泰林路南側,草埤為地取名，是泰山境內佈滿雜草一大沼澤地而成的水埤.以灰窯溝為分界分為土，下埤，每年涸埤一次(同時祭拜自然種祇),耆老轉述中得知，草埤的存在，使每年在此埤游泳.戲水的無辜孩童.慘遭滅頂，又有因此而陰魂不散，有水鬼的傳說。<br>在寸土寸金的經濟效益時代，水埤已被埋填了，只能由耆老訪談中看圖說故事了。,泰山志、泰山成立50週年特刊,,
貴子坑溪,Guizikeng River,Gueizihkeng River,,新北市,泰山區,貴子里,,,,自然地理實體,?,,,,貴子坑溪是泰山鄉農業灌溉主要溪流其下游已改成中港大排，目前灌溉用水，已無作用，成為排水溝渠。,,293547.9573,2771315.813
八分山,Bafen Mountain,Bafen Mountain,,新北市,瑞芳區,傑魚里,,,,自然地理實體,,,,"1.八分山位於16公路瑞芳段附近海拔322公尺並之有四等三角點,因為山麓下為八分寮而名為八分寮山,簡稱為八分山。",,,330939.6939,2776349.252
深澳山,Shen'ao Mountain,Shen'ao Mountain,,新北市,瑞芳區,深澳里,,,,自然地理實體,,,,"1.深澳山是一個標高171公尺的小山丘,山雖小但仍立有一個編號1124的三等三角點。",,,331275.0913,2780465.072
瑞芳山,Ruifang Mountain,Rueifang Mountain,,新北市,瑞芳區,瑞濱里,,,,自然地理實體,,,,"瑞芳山原本沒有山名,後來因為在瑞芳近郊發現,才被稱做「瑞芳山」。本山高度不高,由山頂往下望可以鳥瞰瑞濱、水湳洞等地的聚落景象,亦可看到附近山峰相連之美景。","瑞芳山海拔僅187公尺,在培內丘陵起伏的群山中,這不算什麼,但乃立有一四等三角點,瑞芳鎮公所在山麓規劃建設了「瑞芳公園」展望未來將會成為鎮民的休閒運動中心。",,299030.932,2772992.547
無草山,Wucao Mountain,Wucao Mountain,,新北市,瑞芳區,海濱里,,,,自然地理實體,,,,"1.基隆山的東北麓由於長期受強烈的東北季風吹襲,在滿佈安山岩的山坡上植被難以形成,故附近住民稱之為無草山。",,,335201.2597,2779792.755
洋寮鼻,Yangliaobi,Yangliaobi,,新北市,貢寮區,福連里,鼻指陸地突出海洋尖端處,清朝,迄今,自然地理實體,,,位於三貂角北突岬角,本地地質屬澳底層媽岡段岩層。,與龍洞岬遙遙相對，故西靈巖寺所在之處的地名有「倒照坪」之稱。,雙溪鄉志,,
gang saping,gangsaping,gangsaping,沙賓溪,新北市,烏來區,忠治里,因溪兩旁多叢生之棕櫚葉非常茂密,,迄今,自然地理實體,,,,,,,,
gong cicios,gongcicios,gongcicios,小溪(公園溪),新北市,烏來區,忠治里,很小的溪流之意,,迄今,自然地理實體,,,,,,,,
深澳灣,Shen'ao Bay,Shen'ao Bay,,新北市,瑞芳區,深澳里,澳為海灣之意，深澳指深入的海灣。目前為瑞芳鎮內一漁港。,,,自然地理實體,,,,"因為當地有一岩石外貌近似土著的人頭,所以被稱作「蕃仔澳」。蕃仔澳港灣在岩石之間,可以看到許多生痕化石、海膽化石等奇特地景,因此有「小野柳」之稱。","蕃子澳灣由於瑞濱海水浴場沙灘上的海砂隨潮流漂入?積而一度造成淤積,目前已另新築深澳漁港,亦為瑞芳區漁會所在。",,333041.0274,2780357.87
陰陽海,Yinyang Sea,Yinyang Sea,,新北市,瑞芳區,,"長年形成一半金黃、一半碧藍的奇景,這種景觀被稱之為「陰陽海」。",,,自然地理實體,,,,"陰陽海位處瑞芳鎮水湳洞旁的海灣,其正式名稱為「濂洞灣」。金瓜石山區溪水中礦物質含量頗高,各條野溪溪水匯集至水湳洞溪流出入海口且長年形成一半金黃、一半碧藍的奇景,這種景觀被稱之為「陰陽海」。登上金瓜石山區金水公路上方的景明亭或是往大坑索道上方的廢機房,皆可府瞰陰陽海動人的全景。","陰陽海的形成,肇因於金銅礦的開挖及水銅收集工程,在海岸邊的?澱銅工場投入大量的廢鐵,以置換水中的銅離子,這些含有三價鐵的廢水排入海中,呈膠羽狀浮懸於海面,形成一原約.6-1公尺的金黃色水域,在潮汐的沖刷下凝聚不散,在遇潮時早年可以擴張到深澳灣附近,在台金公司停止操業後,其規模已日漸縮減,但仍是東北角特有的景觀之一。",,,
三爪子坑山,Sanzhuazikengshan,Sanjhuazihkengshan,,新北市,瑞芳區,新峰里,,,,自然地理實體,,,,"1.三爪子坑山海拔536公尺,山頂設有編號679的三等三角點,因山線由三個突出丘陵連成如三爪,故得名。",,,298903.354,2771486.438
蛇子崙山,Shezilun Mountain,Shezihlun Mountain,,新北市,瑞芳區,新峰里,,,,自然地理實體,,,,"1.蛇子崙山位於蛇子形聚落後方,山亦以聚落為名,蓋以附近丘陵,起伏蛇蜒如蛇形而稱之。",,,331592.6779,2776626.063
三貂嶺山,Sandiaoling Mountain,Sandiaoling Mountain,,新北市,瑞芳區,,,,,自然地理實體,盬,,,"侯硐三級古蹟金字碑(標高524.66M)即座落在三貂嶺山,為昔日淡蘭古道必經之處。此山即為瑞芳鎮、雙溪鄉交界、著名三貂大嶺。因此得名。道光元年(1821)噶瑪蘭廳通判姚瑩所著的「台北道里記」曰:「…嶺路初開,窄徑懸磴甚險,肩輿不能行,樹草蒙翳,仰不見日色,干臨深澗,不見流水,惟聞聲淙淙,終日如雷,古樹怪鳥,土人所不能名,猿鹿之所遊也。…」形容山、也形容山路艱險","三貂嶺山為淡蘭古道(淡水廳至噶瑪廳)必經之處。乾隆52年(1787年)林爽文之亂被清廷平定,清廷招撫吳沙(福建漳浦人乾隆38年遷台後居三貂嶺[今雙溪、貢寮]拓墾)領林爽文漳籍前往蛤仔難(後譯名噶瑪蘭-宜蘭)拓土開墾。當時吳沙由三貂嶺趕赴新莊縣丞請具開蘭墾單,越三貂大嶺走路到暖暖然後坐船至新莊只花了二天(二朝)時間。",侯硐探源,334825.91,2775016.42
新埤溪,Sinpi River,Sinpi Riveri,,新北市,深坑區,賴仲里,新埤之溪,清中,?,自然地理實體,閩南語,安溪人,新埤內凹入處約2公里,當乾隆20年許宗琴舉族移民到深坑新埤內時，開墾水田和人口飲之水源，全靠新埤溪，因為到了夏天，旱季，水源不足。,以前新埤溪是潘氏和許氏的水田和人口用水，可惜近年來此溪水源已經被污染了。<br>現在幾乎沒有取用溪水。,深坑鄉志、台灣舊地名沿革,,
猴山岳,Houshanyue,Houshanyue,,新北市,深坑區,阿柔里,似猴之岳,清中,迄今,自然地理實體,閩南語,安溪人,指南宮之後山，約50甲,在深坑西南側，有一座山像猴子的型狀，先民就取名猴山，下面是猴山坑，開墾之初，住了一群原住民，常常出草，使墾民非常害怕。,據說猴山的風水很好，所以當年仙公選上此地，果然興旺起來，現在猴山岳已成風景區。,深坑鄉志、台灣舊地名之沿革,310650.8529,2763538.364
萬順寮潭,Wanshunliao Lake,Wanshunliao Lake,後潭,新北市,深坑區,萬順里,在萬順寮之潭,清初,迄今,自然地理實體,閩南語,安溪人,萬順寮街後面約2000坪,此地有一座巨石，景美溪水沖過石頭，把此挖成巨大潭面，水深而可以停船，靠岸容，因此被選為碼頭，約三十多隻小木船，在此停靠，商人也帶來繁榮之老街。,以前潭水面更大，近年因棄土場等因素，使景美溪於積潭面也縮小，現在還可看出潭邊石頭被整理步道的痕跡。,"深坑鄉誌,台灣舊地名之沿革",,
景美溪,Jingmei River,Jingmei River,霧裡薛溪,新北市,深坑區,萬順里,風景很美之溪,清中,迄今,自然地理實體,閩南語,安溪人,二格山列和五分山之間長幾十公里,深坑的母親之河，早年先民文化完全靠它來孕育，灌溉，清初，光靠河流運載開拓工具，把它當做大路，萬事有景美溪來依靠，所以船隻很多，商至艋舺，迪化街做生意。,早年拉牽船隻，都靠附近農民，因為載重水淺，無法撐篙，農民的勞務，也發給小費，現在景美溪只成排水溝，已經不復當年風光。,深坑鄉誌,310811.002,2766034.234
萬順溪,Wanshun River,Wanshun River,埤仔溪,新北市,深坑區,萬順里,從萬順流過之溪,清中,迄今,自然地理實體,閩南語,安溪人,大埤邊約長二公里,"後東南學院後山峽谷中發源，景美溪出口，先民用來灌溉，但因水量不足，遂造碑蓄水，小溪中常有本土魚，鮕<img src=""http://www.cns11643.gov.tw/cgi-bin/ttf2png?page=3&number=6673&fontsize=16&fgcolor=000000&bgcolor=FFFFFF"">，可惜現在水都被抽光了。",此溪從萬順寮潭出口，最早居民都拿來飲用，不過近來溪水被工廠抽走而乾涸，現在只剩上游，下游己經無水。,"深坑鄉誌,台灣舊地名之沿革",,
楊厝溪,Yangcuo River,Yangcuo River,山溪仔,新北市,深坑區,萬順里,從楊厝邊流過之溪,,,自然地理實體,閩南語,安溪人,從工專到楊厝約二公里,它水量不多，不夠灌溉，草地尾，但是靠近山邊，有一些地勢較高的水田，就必須靠它來灌溉，大多是楊厝聚落人在使用，婦女可在屋後洗衣，所以大家叫它楊厝溪。,楊厝溪邊有幾有泥塘，放牛人都把自家牛趕到牛塘裡泡澡，此溪只剩下後段，其他蓋住宅。,深坑鄉誌,,
外股溪,Waigu River,Waigu River,坑溪,新北市,深坑區,萬順里,外股山下之溪,清中,迄今,自然地理實體,閩南語,安溪人,此溪發之腳木，萬順村出口約長六公里,先民開拓土地公坑的外山脈，名叫外股，山形幽美，外股溪蜿蜒其下，水流豐富，足以灌溉整萬順平原，先民開圳取水，才使平地全面水田化。,外股溪有很多魚蝦，鰻魚等居民常去捉魚，現在因水利局消耗預算，用水泥把溪流做成大水溝，現在他們把怪手開入溪底破壞自然水生態。,深坑鄉誌,,
深坑溪,Shenkeng River,Shenkeng River,豬牡溪,新北市,深坑區,萬順里,深坑和萬順分界的小溪,清中,迄今,自然地理實體,閩南語,安溪人,深坑與萬順中間二公尺寬約三公里長,此溪並不很長，最早在清初先民在簪瓔山上定居時就以竹筒引水至住家使用，後來新厝田開成也引用此溪，但因水量不夠，此田常常無水，天為看天田。,以前豬灶使月大量洗肉水就是用到此溪水，也因為此地是山凹內，殺豬聲音不會吵人，現在溪水不乾溪，雜草叢生。,深坑鄉誌,,
伏獅山,Fushi Mountain,Fushih Mountain,,新北市,石碇區,豐田里,,清末,迄今,自然地理實體,,,,,,盛清沂總纂，《臺北縣志、卷五開闢志》，頁38。,323087.909,2764075.021
內崩山,Neibeng Mountain,Neibeng Mountain,,新北市,石碇區,彭山里,,,,自然地理實體,,,,,,,,
獺狸山,Tali Mountain,Tali Mountain,,新北市,石碇區,彭山里,,,迄今,自然地理實體,閩南語,,,,「瀨狸」就是閩南語的穿山甲，當年這座山頭常可發現穿山甲的蹤跡，當地人於是稱其為瀨狸山。,,318027.7798,2761708.155
大漢溪,Dahan River,Dahan River,,新北市,新莊區,,,清朝,,自然地理實體,,,在台北盆地以南，流路呈東北東方向。,大漢溪舊稱〝大嵙崁溪〞，為淡水河三大支流之一，在台北盆地以南，流路呈東北東方向，與新店溪在華江橋以下匯流之後稱淡水河。在石門附近河道東轉上溯至霞雲再轉向南，經高坡、蘇樂後分支成三光溪與馬里闊丸。馬里闊丸溪流向呈現東北、西南，上溯至秀巒再分成兩支，稱為白石溪與泰崗溪。白石溪發源於大霸尖山的北麓；泰崗溪發源於品田山北麓與大霸山之間；三光溪發源於宜蘭線內的梵梵山麓及池端附近。其上源自發源地至義興之間，多呈峽谷與下切曲流地形，雖有階地但多狹小而且階面傾斜頗為顯著，顯示地盤急遽強烈上升而僅有短暫的間斷。自義興至石門,民國53年，新海橋通車後，陸運取代水運，現已失去水運功能。,http://contest.ks.edu.tw/~river/,287389.3311,2760763.337
啞口坑溪,Yakoukeng River,Yakoukeng River,,新北市,新莊區,,,日治時期,,自然地理實體,,,在丹鳳國中附近注入塔寮坑溪。,塔寮坑溪支流,現只剩泰山流過來，青山路旁的一小段。,新莊市地圖,291690.0311,2768878.743
